rest_name,cuisine,ratings,location,num_reviews
Shin Yeh Shiao Ju-Nangang Restaurant,"Chinese, Asian",4.2,Nangang,45
Yu Shan Ge,"Chinese, Asian",4.4,Zhongzheng District,375
ShinYeh Japanese Buffet - Jiankang Restaurant,"Japanese, Sushi",4.3,Songshan,2168
Lawry's The Prime Rib,"American, Steakhouse",4.4,Xinyi District,1983
Din Tai Fung,"Chinese, Asian",4.5,Xinyi District,184
Yakitori - Songjiang,"Japanese, Bar",4.4,Zhongshan District,457
T.G.I.Friday's Hsi-Men Restaurant (Ximen Dian),"American, Bar",4.2,Wanhua,519
Fruitful Food,"Chinese, Asian",4.4,Da'an,324
Bravo Beer - Taipei Civic Store,"Italian, American",4.8,Songshan,536
"M.O. Bar at Mandarin Oriental, Taipei","Bar, Wine Bar",4.8,Songshan,188
Mayur Indian Kitchen MIK-2 - Minsheng E. Road,"Indian, Asian",4.6,Songshan,782
Inparadise 饗饗,"French, Chinese",4.3,Xinyi District,155
Tao-Yuan-Street Beef Noodle Shop,Taiwanese,4.1,Zhongzheng District,259
Ximen Jinfeng,"Chinese, Asian",4.2,Wanhua,87
Le Cafe - Hotel Royal-Nikko Taipei,,4.3,Zhongshan District,1844
Jingding Xiaoguan,"Chinese, Asian",4.3,Songshan,248
Tokiya (Beitou Guangming Branch),Asian,4.2,ng Branch)4.24.2 of 5 bubbles(173 reviews) 6.6 miBeitou,173
Yong Kang Beef Noodles,"Chinese, Asian",4,Da'an,851
Zhouji Rouzhou,"Chinese, Asian",4.1,Wanhua,172
Café Un Deux Trois,"Steakhouse, International",4.4,Songshan,716
Top One Pot,"Chinese, Asian",4.3,Zhongshan District,677
Merlot Cafe & Bistro,"Italian, European",4.6,Zhongshan District,394
La Farfalla - Humble House Taipei,Italian,4.2,Xinyi District,2983
Latest Recipe - Le Meridien Taipei,Asian,4.1,Xinyi District,2535
Sunway Siokudo,"Japanese, Sushi",4.1,Wanhua,134
Chousan,"Asian, Taiwanese",4.5,Shilin,51
Hangzhou Xiaolong Tangbao,"Chinese, Asian",4.1,Songshan,175
The Guest House - Sheraton Grande Taipei Hotel,"Chinese, Asian",4.2,Zhongzheng District,305
Ruth's Chris Steak House,Steakhouse,4.5,Zhongshan District,265
Gustoso Italian Restaurant- Madison Taipei Hotel,"Italian, Steakhouse",4.5,Da'an,295
Toutouan Kaiseki Restaurant,Japanese,4.5,Da'an,525
Chamonix Teppanyaki (Taipei Nanchang Branch),,4.4,Zhongzheng District,526
Wang Steak (Zhongshan N. Branch),Steakhouse,4.2,Zhongshan District,395
Rakumenya-Nangang Shop,Japanese,4.7,Nangang,387
Qiao Zhi Wei Handmade Dumplings,"Chinese, Asian",4.4,Zhongzheng District,134
Qi Yan No.1 Sichuan Cuisine,Chinese,4.6,Beitou,54
Si Fang a Jiu Minced Pork Rice,"Chinese, Asian",4.3,Wanhua,92
Gusto,"Italian, Pizza",4.7,Zhongzheng District,103
AISIN GIORO Restaurant,"Chinese, Seafood",4.5,Da'an,821
Thai Bazaar,"Asian, Thai",4.1,Xinyi District,250
Just Italian Restaurant,"Italian, Pizza",4.2,Da'an,274
Lan Jia Steamed Sandwich Shop,"Chinese, Fast Food",4.3,Zhongzheng District,227
Kitchen 12-Sheraton Grande Taipei Hotel,"Chinese, Asian",4,Zhongzheng District,3588
Golden Phoenix Hall Cantonese Cuisine,"Chinese, Asian",4.2,Zhongshan District,669
Mala Yuanyang Hotpot,"Chinese, Asian",4.3,Wanhua,242
Metro Buffet - Caesar Metro Taipei,"Chinese, Japanese",3.9,Wanhua,179
Little Mongolian Taipei Station(hotpot),"Chinese, Asian",4.1,Zhongzheng District,329
Top Cap Steakhouse,"Steakhouse, European",4.3,Xinyi District,499
"Mayur Indian Kitchen Vegetarian restaurant, MIK-3",Indian,4.5,Zhongshan District,344
Mala Hotpot,"Chinese, Asian",4.3,Xinyi District,130
Niang Zi Korean Food,"Barbecue, Asian",4.2,Songshan,1268
Danny & Company,Steakhouse,4.5,Da'an,348
Tokiya (Taipei Chongqing S. Branch),,4.2,Zhongzheng District,320
Ai Zai Cai Ru Rou Fan,Chinese,4.3,Beitou,55
Rainbow Terrace the Atrium,"Chinese, International",4.2,Da'an,495
Sukhothai - Sheraton Grand Taipei Hotel,"Asian, Thai",4.2,Zhongzheng District,389
Shihlin Kitchen - Renaissance Taipei Shihlin Hotel,"Italian, Seafood",3.9,Shilin,332
Dian Shui Lou - Huaining,"Chinese, Asian",4,Zhongzheng District,537
Shuang Yue Food,"Chinese, Asian",4.4,Zhongzheng District,65
Da Antonio Ristorante Italiano,Italian,4.1,Xinyi District,407
Steak Inn,"Steakhouse, Seafood",4.4,Da'an,506
French Windows - British TeaHouse,"Italian, European",4.6,Xinyi District,360
Saffron Fine Indian Cuisine,"Indian, Asian",4.6,Shilin,243
Chamonix Teppanaki - Zhongxiao  E. Rd Branch,,4.5,Da'an,362
Antoine Room-Sheraton Grande Taipei Hotel,"French, European",4.5,Zhongzheng District,258
Top One Pot JiLin,"Chinese, Asian",4.3,Zhongshan District,379
Manlai Hot Spring Ramen,"Japanese, Asian",3.7,Beitou,121
Nook Restaurant,"Chinese, American",4.5,Beitou,39
Thai Town Cuisine - Taipei Main Station Mitsukoshi Store,Thai,4.3,Zhongzheng District,150
Hestia Tapas Bar,"Mediterranean, European",4.3,Songshan,248
Hooters Taipei,"Bars & Pubs, American",3.9,Songshan,110
Taoran Ting Restaurant,"Chinese, Asian",4.2,Songshan,85
Checkers,"Chinese, Asian",3.9,Zhongzheng District,1990
Beitou Kagaya,"Japanese, Asian",4,Beitou,65
Da Dao Cheng Braised Pork On Rice,"Asian, Taiwanese",4.7,Datong,27
The Jade Lounge,,4.9,Songshan,120
Driftwood Ximending,"Bars & Pubs, Bar",4.6,Wanhua,42
Marco Polo,"Italian, European",4.5,Da'an,218
ikki (Taipei Dunhua N. Branch),"Japanese, Asian",4.3,Songshan,382
Wired Chaya (Neihu),"Chinese, JapaneseOpen now",4.3,Neihu,47
Yakitori - Da Zhi,"Japanese, Asian",4.4,Zhongshan District,328
KiKi Eslite XinYi Branch,"Chinese, Szechuan",4.2,Xinyi District,341
Eatogether - Q Square,Asian,4.2,Datong,104
TGI Fridays,"Bar, Pub",4.2,Zhongzheng District,437
Yonghe Century Soy Milk King,Taiwanese,4.1,Datong,138
Sushiro - Taiwan Flagship Restaurant,"Japanese, Sushi",4.2,Zhongzheng District,62
Very Thai Restaurant - Nangang CTBC Financial Park Store,Thai,4.3,Nangang,132
INJOY Seafood HotPot,"Seafood, Asian",4.5,Da'an,286
Li He Fa Glutinous Oil Rice & Rice Cake Shop,Asian,4.4,Datong,80
TGI Friday's,"American, Bar",4.2,Xinyi District,942
Tasty Steak (Taipei Roosevelt Branch),"American, Steakhouse",4.4,Da'an,213
Moksha indian restaurant,"Indian, Asian",4.7,Shilin,70
