rest_name,ratings,location,num_reviews,city,cuisine_type
No 168 Prime Steakhouse,4.5,Zhongshan,944,Taipei,steakhouse
No 168 Prime Steakhouse,4.5,Zhongshan,944,Taipei,european
Spice Market,4.3,Xinyi,993,Taipei,seafood
Spice Market,4.3,Xinyi,993,Taipei,asian
Marshal Zen Garden,4.1,Beitou,302,Taipei,chinese
Marshal Zen Garden,4.1,Beitou,302,Taipei,international
ikki New Japanese Restaurant(Taipei Hengyan),4.4,Zhongzheng,656,Taipei,japanese
ikki New Japanese Restaurant(Taipei Hengyan),4.4,Zhongzheng,656,Taipei,asian
Taïrroir,4.4,Zhongshan,285,Taipei,french
Taïrroir,4.4,Zhongshan,285,Taipei,european
Fresh & Aged Italian Steak House,4.4,Neihu,447,Taipei,steakhouse
Fresh & Aged Italian Steak House,4.4,Neihu,447,Taipei,fusion
Addiction Aquatic Development,4.2,Zhongshan,1384,Taipei,japanese
Addiction Aquatic Development,4.2,Zhongshan,1384,Taipei,seafood
ShinYeh Japanese Buffet - Jhongshan Restaurant,4.3,Zhongshan,2049,Taipei,japanese
ShinYeh Japanese Buffet - Jhongshan Restaurant,4.3,Zhongshan,2049,Taipei,sushi
A Cheng Goose,4.5,Zhongshan,149,Taipei,chinese
A Cheng Goose,4.5,Zhongshan,149,Taipei,asian
Chamonix Teppanyaki - Taipei Zhongshan N.Branch,4.5,Zhongshan,1165,Taipei,asian
Chamonix Teppanyaki - Taipei Zhongshan N.Branch,4.5,Zhongshan,1165,Taipei,soups
Rakuken Taipei,4.8,Da'an,345,Taipei,japanese
Rakuken Taipei,4.8,Da'an,345,Taipei,steakhouse
Grand Hilai,4.3,Da'an,6461,Taipei,chinese
Grand Hilai,4.3,Da'an,6461,Taipei,japanese
Lin Dong Fang Niu Rou Mian,4.2,Zhongshan,581,Taipei,chinese
Lin Dong Fang Niu Rou Mian,4.2,Zhongshan,581,Taipei,asian
The Dragon - Sheraton Grand Taipei Hotel,4.5,Zhongzheng,279,Taipei,chinese
The Dragon - Sheraton Grand Taipei Hotel,4.5,Zhongzheng,279,Taipei,asian
Golden Formosa,4.3,Shilin,77,Taipei,taiwanese
Top One Pot - Xinyi,4.4,Da'an,760,Taipei,chinese
Top One Pot - Xinyi,4.4,Da'an,760,Taipei,asian
Osteria By Vincent,4.8,Da'an,263,Taipei,chinese
Osteria By Vincent,4.8,Da'an,263,Taipei,american
Mediterranean Steak House At The Riviera Taipei,4.6,Zhongshan,1316,Taipei,steakhouse
Mediterranean Steak House At The Riviera Taipei,4.6,Zhongshan,1316,Taipei,european
L'Atelier De Joël Robuchon,4.3,Xinyi,400,Taipei,french
L'Atelier De Joël Robuchon,4.3,Xinyi,400,Taipei,european
Yi Jia Zi,4.5,Wanhua,20,Taipei,asian
Yi Jia Zi,4.5,Wanhua,20,Taipei,taiwanese
Silks Palace,4,Shilin,318,Taipei,asian
Silks Palace,4,Shilin,318,Taipei,cantonese
Taiwanese Cuisine & Champagne at Fujin Tree,4.1,Songshan,56,Taipei,chinese
Taiwanese Cuisine & Champagne at Fujin Tree,4.1,Songshan,56,Taipei,asian
Irodori Grand Hyatt Taipei,4.2,Xinyi,582,Taipei,japanese
Irodori Grand Hyatt Taipei,4.2,Xinyi,582,Taipei,sushi
Ya Ge,4.3,Songshan,135,Taipei,chinese
Ya Ge,4.3,Songshan,135,Taipei,asian
Danny’s Steakhouse,4.3,Zhongshan,1635,Taipei,steakhouse
Modern Toilet Theme Restaurant - Taipei Ximending,3.4,Wanhua,534,Taipei,asian
Tim Ho Wan - HOYII Main Station,4,Zhongzheng,780,Taipei,chinese
Tim Ho Wan - HOYII Main Station,4,Zhongzheng,780,Taipei,asian
King of Soy Milk,4.2,Zhongshan,273,Taipei,fast
King of Soy Milk,4.2,Zhongshan,273,Taipei,food
King of Soy Milk,4.2,Zhongshan,273,Taipei,asian
Mayur Indian Kitchen MIK-1,4.7,Xinyi,1418,Taipei,indian
Mayur Indian Kitchen MIK-1,4.7,Xinyi,1418,Taipei,pakistani
Tha Top,4.1,Shilin,155,Taipei,chinese
Tha Top,4.1,Shilin,155,Taipei,asian
Beef Noodle of the King,4.3,Zhongzheng,218,Taipei,chinese
Beef Noodle of the King,4.3,Zhongzheng,218,Taipei,asian
Rice & Shine Restaurant,4.5,Datong,89,Taipei,chinese
Rice & Shine Restaurant,4.5,Datong,89,Taipei,taiwanese
Rilakkuma CafE,4.3,Da'an,2685,Taipei,american
Rilakkuma CafE,4.3,Da'an,2685,Taipei,cafe
Bencotto,4.4,Songshan,346,Taipei,italian
Mayur Indian Kitchen,4.6,Zhongshan,323,Taipei,indian
Haidilao,4.3,Xinyi,230,Taipei,chinese
Haidilao,4.3,Xinyi,230,Taipei,asian
Ichiran Ramen - Taiwan Taipei Shop,4.1,Xinyi,160,Taipei,japanese
Ichiran Ramen - Taiwan Taipei Shop,4.1,Xinyi,160,Taipei,fast
Ichiran Ramen - Taiwan Taipei Shop,4.1,Xinyi,160,Taipei,food
Pearl River,4.6,Da'an,227,Taipei,chinese
Pearl River,4.6,Da'an,227,Taipei,asian
Ruth's Chris Steak House,4.5,Songshan,478,Taipei,american
Ruth's Chris Steak House,4.5,Songshan,478,Taipei,steakhouse
Sunrise all day dinning - COURTYARD TAIPEI,4.4,Nangang,1069,Taipei,european
Sunrise all day dinning - COURTYARD TAIPEI,4.4,Nangang,1069,Taipei,asian
Shin Yeh Shiao Ju-Nangang Restaurant,4.2,Nangang,45,Taipei,chinese
Shin Yeh Shiao Ju-Nangang Restaurant,4.2,Nangang,45,Taipei,asian
Yu Shan Ge,4.4,Zhongzheng,375,Taipei,chinese
Yu Shan Ge,4.4,Zhongzheng,375,Taipei,asian
ShinYeh Japanese Buffet - Jiankang Restaurant,4.3,Songshan,2168,Taipei,japanese
ShinYeh Japanese Buffet - Jiankang Restaurant,4.3,Songshan,2168,Taipei,sushi
Lawry's The Prime Rib,4.4,Xinyi,1983,Taipei,american
Lawry's The Prime Rib,4.4,Xinyi,1983,Taipei,steakhouse
Din Tai Fung,4.5,Xinyi,184,Taipei,chinese
Din Tai Fung,4.5,Xinyi,184,Taipei,asian
Yakitori - Songjiang,4.4,Zhongshan,457,Taipei,japanese
Yakitori - Songjiang,4.4,Zhongshan,457,Taipei,bar
T.G.I.Friday's Hsi-Men Restaurant (Ximen Dian),4.2,Wanhua,519,Taipei,american
T.G.I.Friday's Hsi-Men Restaurant (Ximen Dian),4.2,Wanhua,519,Taipei,bar
Fruitful Food,4.4,Da'an,324,Taipei,chinese
Fruitful Food,4.4,Da'an,324,Taipei,asian
Bravo Beer - Taipei Civic Store,4.8,Songshan,536,Taipei,italian
Bravo Beer - Taipei Civic Store,4.8,Songshan,536,Taipei,american
"M.O. Bar at Mandarin Oriental, Taipei",4.8,Songshan,188,Taipei,bar
"M.O. Bar at Mandarin Oriental, Taipei",4.8,Songshan,188,Taipei,wine
"M.O. Bar at Mandarin Oriental, Taipei",4.8,Songshan,188,Taipei,bar
Mayur Indian Kitchen MIK-2 - Minsheng E. Road,4.6,Songshan,782,Taipei,indian
Mayur Indian Kitchen MIK-2 - Minsheng E. Road,4.6,Songshan,782,Taipei,asian
Inparadise 饗饗,4.3,Xinyi,155,Taipei,french
Inparadise 饗饗,4.3,Xinyi,155,Taipei,chinese
Tao-Yuan-Street Beef Noodle Shop,4.1,Zhongzheng,259,Taipei,taiwanese
Ximen Jinfeng,4.2,Wanhua,87,Taipei,chinese
Ximen Jinfeng,4.2,Wanhua,87,Taipei,asian
Le Cafe - Hotel Royal-Nikko Taipei,4.3,Zhongshan,1844,Taipei,NA
Jingding Xiaoguan,4.3,Songshan,248,Taipei,chinese
Jingding Xiaoguan,4.3,Songshan,248,Taipei,asian
Tokiya (Beitou Guangming Branch),4.2,Beitou,173,Taipei,asian
Yong Kang Beef Noodles,4,Da'an,851,Taipei,chinese
Yong Kang Beef Noodles,4,Da'an,851,Taipei,asian
Zhouji Rouzhou,4.1,Wanhua,172,Taipei,chinese
Zhouji Rouzhou,4.1,Wanhua,172,Taipei,asian
Café Un Deux Trois,4.4,Songshan,716,Taipei,steakhouse
Café Un Deux Trois,4.4,Songshan,716,Taipei,international
Top One Pot,4.3,Zhongshan,677,Taipei,chinese
Top One Pot,4.3,Zhongshan,677,Taipei,asian
Merlot Cafe & Bistro,4.6,Zhongshan,394,Taipei,italian
Merlot Cafe & Bistro,4.6,Zhongshan,394,Taipei,european
La Farfalla - Humble House Taipei,4.2,Xinyi,2983,Taipei,italian
Latest Recipe - Le Meridien Taipei,4.1,Xinyi,2535,Taipei,asian
Sunway Siokudo,4.1,Wanhua,134,Taipei,japanese
Sunway Siokudo,4.1,Wanhua,134,Taipei,sushi
Chousan,4.5,Shilin,51,Taipei,asian
Chousan,4.5,Shilin,51,Taipei,taiwanese
Hangzhou Xiaolong Tangbao,4.1,Songshan,175,Taipei,chinese
Hangzhou Xiaolong Tangbao,4.1,Songshan,175,Taipei,asian
The Guest House - Sheraton Grande Taipei Hotel,4.2,Zhongzheng,305,Taipei,chinese
The Guest House - Sheraton Grande Taipei Hotel,4.2,Zhongzheng,305,Taipei,asian
Ruth's Chris Steak House,4.5,Zhongshan,265,Taipei,steakhouse
Gustoso Italian Restaurant- Madison Taipei Hotel,4.5,Da'an,295,Taipei,italian
Gustoso Italian Restaurant- Madison Taipei Hotel,4.5,Da'an,295,Taipei,steakhouse
Toutouan Kaiseki Restaurant,4.5,Da'an,525,Taipei,japanese
Chamonix Teppanyaki (Taipei Nanchang Branch),4.4,Zhongzheng,526,Taipei,NA
Wang Steak (Zhongshan N. Branch),4.2,Zhongshan,395,Taipei,steakhouse
Rakumenya-Nangang Shop,4.7,Nangang,387,Taipei,japanese
Qiao Zhi Wei Handmade Dumplings,4.4,Zhongzheng,134,Taipei,chinese
Qiao Zhi Wei Handmade Dumplings,4.4,Zhongzheng,134,Taipei,asian
Qi Yan No.1 Sichuan Cuisine,4.6,Beitou,54,Taipei,chinese
