rest_name,cuisine,ratings,location,num_reviews,city
Bite 2 Eat Pizza - Taoyuan,Opens in 8 min,4.7,Bade District,3,Kaohsiung
Wanshitou Restaurant,"Cafe, Asian",4.1,Luzhu District,10,Kaohsiung
Yang Shin Vegetarian Restaurant - Fame Hall Garden Hotel,"Chinese, Asian",4.8,Longtan District,5,Kaohsiung
Haidilao - Taoyuan Tong Ling,Open now,4.6,Taoyuan District,17,Kaohsiung
Chuwei Port Chengfubo Seafood,Seafood,4.3,Dayuan District,13,Kaohsiung
Gan Zhi Fei Nong,Opens in 38 min,4.2,Longtan District,6,Kaohsiung
Mr. Onion Steak Restaurant,Steakhouse,3.7,Luzhu District,26,Kaohsiung
Thai Town Cuisine - Zhongli Sogo Store,Thai,4.2,Zhongli District,181,Kaohsiung
YI HUI XUAN,Chinese,3.7,Zhongli District,7,Kaohsiung
12HOTPOT - Taoyuan Nanping,,4.2,NA,61,Kaohsiung
Gloria Outlets,"Asian, Taiwanese",4,NA,10,Kaohsiung
Yamaokuya Yakiniku - Nankan Branch,"Japanese, Barbecue",4.5,Luzhu District,6,Kaohsiung
Usual Place Hakka Cuisine,"Asian, Taiwanese",4.1,Daxi District,33,Kaohsiung
Yong Chuan Beef Noodles,Asian,3.9,Zhongli District,39,Kaohsiung
Roots Cafe - Gloria Outlets,"American, Cafe",3.8,Zhongli District,13,Kaohsiung
Shin Bai Wang Hakka Restaurant,"Chinese, Seafood",4.7,Zhongli District,6,Kaohsiung
Korean Food,"Asian, Korean",4,Yangmei District,8,Kaohsiung
Shian-Yeou Fondu Automat,Menu,4.1,Pingzhen District,47,Kaohsiung
J&D BEEF NOODLES,"Chinese, Asian",4.1,Luzhu District,8,Kaohsiung
The H.O.P.,"Mexican, American",4.5,Taoyuan District,62,Kaohsiung
A Han Thai,Thai,4.3,Pingzhen District,7,Kaohsiung
Zendon Yaki,"Steakhouse, AsianOpen now",4.6,Zhongli District,13,Kaohsiung
Yi Restaurant Monarch Skyline Hotel,Japanese,4.2,Luzhu District,12,Kaohsiung
Guang De Seafood Restaurant (Zhongmei Rd),SeafoodOpen now,4.2,Zhongli District,10,Kaohsiung
Zang Shoushi,Japanese,4.1,Zhongli District,67,Kaohsiung
McDonald's Airport,Fast Food,3.5,NA,2,Kaohsiung
Shan Zhen Eatery,"Asian, Taiwanese",4.4,Fuxing District,5,Kaohsiung
Jack's Steak House,Steakhouse,5,Zhongli District,4,Kaohsiung
Ranaissance - Longtan Store,Chinese,4.3,Longtan District,13,Kaohsiung
Da Shi Men Live Fish Restaurant,"Chinese, Seafood",4.1,Longtan District,9,Kaohsiung
Homa Aquatic Product,,4.2,Zhongli District,5,Kaohsiung
City Suites Taoyuan Gateway,,4.3,Dayuan District,3,Kaohsiung
Toscanini Italy Restaurant,Italian,3.6,Pingzhen District,21,Kaohsiung
Traveler Cafe,"Italian, Chinese",3.8,Yangmei District,6,Kaohsiung
TGI Fridays Zhongli,,4.2,NA,308,Kaohsiung
Pretty Garden,"Cafe, Northern-Italian",4,Longtan District,5,Kaohsiung
Xinhong Goose Restaurant,"Asian, Taiwanese",3.3,Xinwu District,3,Kaohsiung
Youji Liaoli,"Asian, Taiwanese",3.8,Daxi District,5,Kaohsiung
Long Tan Lao Tou Bai Hakka Cuisine,Fusion,3.6,Longtan District,28,Kaohsiung
Lao You Tiao Jia Chang Cai (Linkou),"Chinese, AsianOpens in 8 min",4.5,Guishan District,2,Kaohsiung
Yi Xiao Lu,"Japanese, Sushi",5,Taoyuan District,4,Kaohsiung
Gan Noodle,"Asian, Taiwanese",4.3,Daxi District,6,Kaohsiung
Hanlin Tea House,Fusion,4.2,Taoyuan District,18,Kaohsiung
Pleasant Hotels Buffet,International,3.4,Taoyuan District,37,Kaohsiung
Smail,"Pizza, Cafe",4.4,Daxi District,5,Kaohsiung
Cozzi Market,Fusion,3.3,Zhongli District,3,Kaohsiung
Thai Town Cuisine- Zhongli Metro Walk Store,Thai,4,Zhongli District,104,Kaohsiung
Wu Ming Seafood Dining,"Chinese, AsianClosed today",5,Dayuan District,1,Kaohsiung
LEBLEDOR - Zhongli Sogo Outlet,"American, Brew Pub",3.8,Zhongli District,22,Kaohsiung
Roux Bistro,"French, FusionOpens in 8 min",5,Taoyuan District,1,Kaohsiung
Little Mongolian Spicy Hot Pot - Zhongli,"Asian, Taiwanese",4,Zhongli District,249,Kaohsiung
KIKI Noodle Bar,Open now,4.5,Dayuan District,2,Kaohsiung
Top-d Seafood Restaurant (Taoyuan),"Chinese, SeafoodOpen nowMenu",3.9,Taoyuan District,65,Kaohsiung
Yangmei Shouwu Hakka Seafood,"Asian, Taiwanese",3.8,Yangmei District,6,Kaohsiung
Hakka Shallot Noodles,"Asian, Taiwanese",3.8,Yangmei District,6,Kaohsiung
Mos Burger,,4.1,Zhongli District,46,Kaohsiung
KaiFun Together - Zhongli,Open nowMenu,4.3,Zhongli District,18,Kaohsiung
Aegean Sea Shore Cafe,ItalianOpens in 8 min,4.3,Xinwu District,3,Kaohsiung
Sunrise Golf & Country Club,Fusion,4.1,Yangmei District,15,Kaohsiung
The Vivid Western Restaurant (Hotel Kuva Chateau),,3.9,Zhongli District,185,Kaohsiung
Formosa Chang - Taoyuan Erhang,Open now,3.8,Dayuan District,16,Kaohsiung
Xiao Nan Men Chuantong Douhua,,4,Dayuan District,2,Kaohsiung
Littlehill. Life,Opens in 8 min,4.4,Longtan District,8,Kaohsiung
Hu Tong Yakiniku,,4.3,Taoyuan District,9,Kaohsiung
Guo Ran Hui Tongling,,4.2,Taoyuan District,14,Kaohsiung
Shiyuan Huoyu Restaurant,ChineseOpen now,4.7,Longtan District,3,Kaohsiung
Bonew Cafe',"Cafe, Northern-Italian",4.5,Longtan District,4,Kaohsiung
Thai Town Cuisine - Taoyuan Zhongzheng Store,Thai,4.3,Taoyuan District,39,Kaohsiung
Jin Zhang Roast,,4.2,Daxi District,5,Kaohsiung
Yentl Pasta - Linkou,Italian,4.5,Guishan District,4,Kaohsiung
Orchard Cafe - Orchard Park,International,3.9,Dayuan District,112,Kaohsiung
Chiuan Jia Fu Hakka Cuisine Restaurant,"Asian, Taiwanese",4.6,Zhongli District,8,Kaohsiung
Yulan Huoyu Restaurant,"Chinese, SeafoodOpen now",4,Longtan District,2,Kaohsiung
Lao Di Fang Restaurant,"Asian, Taiwanese",4.5,Longtan District,2,Kaohsiung
Tina Kitchen,Fusion,3.8,Bade District,11,Kaohsiung
Green Herb Cuisine,"International, FusionOpen nowMenu",5,Taoyuan District,2,Kaohsiung
Little Mongolian Taoyuan,ChineseOpens in 8 min,4,Taoyuan District,107,Kaohsiung
Red Barn BBQ Kitchen,"Mexican, ChineseClosed now",4.2,Luzhu District,5,Kaohsiung
Back Street Office,Cafe,4.2,Daxi District,5,Kaohsiung
