rest_name,cuisine,ratings,location,num_reviews,city
Wanshitou Restaurant,"Cafe, Asian",4.1,Luzhu District,10,Taoyuan
Yang Shin Vegetarian Restaurant - Fame Hall Garden Hotel,"Chinese, Asian",4.8,Longtan District,5,Taoyuan
Haidilao - Taoyuan Tong Ling,Open now,4.6,Taoyuan District,17,Taoyuan
Chuwei Port Chengfubo Seafood,Seafood,4.3,Dayuan District,13,Taoyuan
Gan Zhi Fei Nong,Opens in 38 min,4.2,Longtan District,6,Taoyuan
Mr. Onion Steak Restaurant,Steakhouse,3.7,Luzhu District,26,Taoyuan
Thai Town Cuisine - Zhongli Sogo Store,Thai,4.2,Zhongli District,181,Taoyuan
YI HUI XUAN,Chinese,3.7,Zhongli District,7,Taoyuan
12HOTPOT - Taoyuan Nanping,,4.2,NA,61,Taoyuan
Gloria Outlets,"Asian, Taiwanese",4,NA,10,Taoyuan
Yamaokuya Yakiniku - Nankan Branch,"Japanese, Barbecue",4.5,Luzhu District,6,Taoyuan
Usual Place Hakka Cuisine,"Asian, Taiwanese",4.1,Daxi District,33,Taoyuan
Yong Chuan Beef Noodles,Asian,3.9,Zhongli District,39,Taoyuan
Roots Cafe - Gloria Outlets,"American, Cafe",3.8,Zhongli District,13,Taoyuan
Shin Bai Wang Hakka Restaurant,"Chinese, Seafood",4.7,Zhongli District,6,Taoyuan
Korean Food,"Asian, Korean",4,Yangmei District,8,Taoyuan
Shian-Yeou Fondu Automat,Menu,4.1,Pingzhen District,47,Taoyuan
J&D BEEF NOODLES,"Chinese, Asian",4.1,Luzhu District,8,Taoyuan
The H.O.P.,"Mexican, American",4.5,Taoyuan District,62,Taoyuan
A Han Thai,Thai,4.3,Pingzhen District,7,Taoyuan
Zendon Yaki,"Steakhouse, AsianOpen now",4.6,Zhongli District,13,Taoyuan
Yi Restaurant Monarch Skyline Hotel,Japanese,4.2,Luzhu District,12,Taoyuan
Guang De Seafood Restaurant (Zhongmei Rd),SeafoodOpen now,4.2,Zhongli District,10,Taoyuan
Zang Shoushi,Japanese,4.1,Zhongli District,67,Taoyuan
McDonald's Airport,Fast Food,3.5,NA,2,Taoyuan
Shan Zhen Eatery,"Asian, Taiwanese",4.4,Fuxing District,5,Taoyuan
Jack's Steak House,Steakhouse,5,Zhongli District,4,Taoyuan
Ranaissance - Longtan Store,Chinese,4.3,Longtan District,13,Taoyuan
Da Shi Men Live Fish Restaurant,"Chinese, Seafood",4.1,Longtan District,9,Taoyuan
Homa Aquatic Product,,4.2,Zhongli District,5,Taoyuan
City Suites Taoyuan Gateway,,4.3,Dayuan District,3,Taoyuan
Toscanini Italy Restaurant,Italian,3.6,Pingzhen District,21,Taoyuan
Traveler Cafe,"Italian, Chinese",3.8,Yangmei District,6,Taoyuan
TGI Fridays Zhongli,,4.2,NA,308,Taoyuan
Pretty Garden,"Cafe, Northern-Italian",4,Longtan District,5,Taoyuan
