rest_name,cuisine,ratings,location,num_reviews,city
Wanshitou Restaurant,"Cafe, Asian",4.1,Luzhu District,10,Hsinchu
Yang Shin Vegetarian Restaurant - Fame Hall Garden Hotel,"Chinese, Asian",4.8,Longtan District,5,Hsinchu
Haidilao - Taoyuan Tong Ling,Open now,4.6,Taoyuan District,17,Hsinchu
Chuwei Port Chengfubo Seafood,Seafood,4.3,Dayuan District,13,Hsinchu
Gan Zhi Fei Nong,Opens in 38 min,4.2,Longtan District,6,Hsinchu
Mr. Onion Steak Restaurant,Steakhouse,3.7,Luzhu District,26,Hsinchu
Thai Town Cuisine - Zhongli Sogo Store,Thai,4.2,Zhongli District,181,Hsinchu
YI HUI XUAN,Chinese,3.7,Zhongli District,7,Hsinchu
12HOTPOT - Taoyuan Nanping,,4.2,NA,61,Hsinchu
Gloria Outlets,"Asian, Taiwanese",4,NA,10,Hsinchu
Yamaokuya Yakiniku - Nankan Branch,"Japanese, Barbecue",4.5,Luzhu District,6,Hsinchu
Usual Place Hakka Cuisine,"Asian, Taiwanese",4.1,Daxi District,33,Hsinchu
Yong Chuan Beef Noodles,Asian,3.9,Zhongli District,39,Hsinchu
Roots Cafe - Gloria Outlets,"American, Cafe",3.8,Zhongli District,13,Hsinchu
Shin Bai Wang Hakka Restaurant,"Chinese, Seafood",4.7,Zhongli District,6,Hsinchu
Korean Food,"Asian, Korean",4,Yangmei District,8,Hsinchu
Shian-Yeou Fondu Automat,Menu,4.1,Pingzhen District,47,Hsinchu
J&D BEEF NOODLES,"Chinese, Asian",4.1,Luzhu District,8,Hsinchu
The H.O.P.,"Mexican, American",4.5,Taoyuan District,62,Hsinchu
A Han Thai,Thai,4.3,Pingzhen District,7,Hsinchu
Zendon Yaki,"Steakhouse, AsianOpen now",4.6,Zhongli District,13,Hsinchu
Yi Restaurant Monarch Skyline Hotel,Japanese,4.2,Luzhu District,12,Hsinchu
Guang De Seafood Restaurant (Zhongmei Rd),SeafoodOpen now,4.2,Zhongli District,10,Hsinchu
Zang Shoushi,Japanese,4.1,Zhongli District,67,Hsinchu
McDonald's Airport,Fast Food,3.5,NA,2,Hsinchu
Shan Zhen Eatery,"Asian, Taiwanese",4.4,Fuxing District,5,Hsinchu
Jack's Steak House,Steakhouse,5,Zhongli District,4,Hsinchu
Ranaissance - Longtan Store,Chinese,4.3,Longtan District,13,Hsinchu
Da Shi Men Live Fish Restaurant,"Chinese, Seafood",4.1,Longtan District,9,Hsinchu
Homa Aquatic Product,,4.2,Zhongli District,5,Hsinchu
City Suites Taoyuan Gateway,,4.3,Dayuan District,3,Hsinchu
Toscanini Italy Restaurant,Italian,3.6,Pingzhen District,21,Hsinchu
Traveler Cafe,"Italian, Chinese",3.8,Yangmei District,6,Hsinchu
TGI Fridays Zhongli,,4.2,NA,308,Hsinchu
Pretty Garden,"Cafe, Northern-Italian",4,Longtan District,5,Hsinchu
Xinhong Goose Restaurant,"Asian, Taiwanese",3.3,Xinwu District,3,Hsinchu
Youji Liaoli,"Asian, Taiwanese",3.8,Daxi District,5,Hsinchu
Long Tan Lao Tou Bai Hakka Cuisine,Fusion,3.6,Longtan District,28,Hsinchu
Lao You Tiao Jia Chang Cai (Linkou),"Chinese, AsianOpens in 8 min",4.5,Guishan District,2,Hsinchu
Yi Xiao Lu,"Japanese, Sushi",5,Taoyuan District,4,Hsinchu
Gan Noodle,"Asian, Taiwanese",4.3,Daxi District,6,Hsinchu
Hanlin Tea House,Fusion,4.2,Taoyuan District,18,Hsinchu
Pleasant Hotels Buffet,International,3.4,Taoyuan District,37,Hsinchu
Smail,"Pizza, Cafe",4.4,Daxi District,5,Hsinchu
Cozzi Market,Fusion,3.3,Zhongli District,3,Hsinchu
Thai Town Cuisine- Zhongli Metro Walk Store,Thai,4,Zhongli District,104,Hsinchu
Wu Ming Seafood Dining,"Chinese, AsianClosed today",5,Dayuan District,1,Hsinchu
LEBLEDOR - Zhongli Sogo Outlet,"American, Brew Pub",3.8,Zhongli District,22,Hsinchu
Roux Bistro,"French, FusionOpens in 8 min",5,Taoyuan District,1,Hsinchu
Little Mongolian Spicy Hot Pot - Zhongli,"Asian, Taiwanese",4,Zhongli District,249,Hsinchu
KIKI Noodle Bar,Open now,4.5,Dayuan District,2,Hsinchu
Top-d Seafood Restaurant (Taoyuan),"Chinese, SeafoodOpen nowMenu",3.9,Taoyuan District,65,Hsinchu
Yangmei Shouwu Hakka Seafood,"Asian, Taiwanese",3.8,Yangmei District,6,Hsinchu
Hakka Shallot Noodles,"Asian, Taiwanese",3.8,Yangmei District,6,Hsinchu
Mos Burger,,4.1,Zhongli District,46,Hsinchu
KaiFun Together - Zhongli,Open nowMenu,4.3,Zhongli District,18,Hsinchu
Aegean Sea Shore Cafe,ItalianOpens in 8 min,4.3,Xinwu District,3,Hsinchu
Sunrise Golf & Country Club,Fusion,4.1,Yangmei District,15,Hsinchu
The Vivid Western Restaurant (Hotel Kuva Chateau),,3.9,Zhongli District,185,Hsinchu
Formosa Chang - Taoyuan Erhang,Open now,3.8,Dayuan District,16,Hsinchu
Xiao Nan Men Chuantong Douhua,,4,Dayuan District,2,Hsinchu
Littlehill. Life,Opens in 8 min,4.4,Longtan District,8,Hsinchu
Hu Tong Yakiniku,,4.3,Taoyuan District,9,Hsinchu
Guo Ran Hui Tongling,,4.2,Taoyuan District,14,Hsinchu
Shiyuan Huoyu Restaurant,ChineseOpen now,4.7,Longtan District,3,Hsinchu
Bonew Cafe',"Cafe, Northern-Italian",4.5,Longtan District,4,Hsinchu
Thai Town Cuisine - Taoyuan Zhongzheng Store,Thai,4.3,Taoyuan District,39,Hsinchu
Jin Zhang Roast,,4.2,Daxi District,5,Hsinchu
Yentl Pasta - Linkou,Italian,4.5,Guishan District,4,Hsinchu
Orchard Cafe - Orchard Park,International,3.9,Dayuan District,112,Hsinchu
Chiuan Jia Fu Hakka Cuisine Restaurant,"Asian, Taiwanese",4.6,Zhongli District,8,Hsinchu
Yulan Huoyu Restaurant,"Chinese, SeafoodOpen now",4,Longtan District,2,Hsinchu
Lao Di Fang Restaurant,"Asian, Taiwanese",4.5,Longtan District,2,Hsinchu
Tina Kitchen,Fusion,3.8,Bade District,11,Hsinchu
Green Herb Cuisine,"International, FusionOpen nowMenu",5,Taoyuan District,2,Hsinchu
Little Mongolian Taoyuan,ChineseOpens in 8 min,4,Taoyuan District,107,Hsinchu
Red Barn BBQ Kitchen,"Mexican, ChineseClosed now",4.2,Luzhu District,5,Hsinchu
Back Street Office,Cafe,4.2,Daxi District,5,Hsinchu
Tokiya (Taoyuan Sanmin Branch),,4.1,n Branch)4.14.1 of 5 bubbles(84 reviews) 10.1 miYangmei District,84,Hsinchu
Frank's Texas Bbq,"American, BarbecueOpens in 8 min",4.1,Daxi District,10,Hsinchu
Katsumasa - Zhongli Dajiang Store,,4.4,Zhongli District,22,Hsinchu
Lifestyle Book Store,Cafe,4.6,Pingzhen District,7,Hsinchu
Stanley’s Steakhouse,Steakhouse,4,Zhongli District,1,Hsinchu
Chuan Men Tz Trendy Szechwan Cuisine,,4,Luzhu District,21,Hsinchu
Nan Bei He Noodles Diner,Asian,4,Yangmei District,7,Hsinchu
The Black Apartment Coffee and Art Gallery,"Italian, American",4.7,Yangmei District,7,Hsinchu
Dim Sum Master - Ba De/Guang Feng,Asian,3.1,Bade District,7,Hsinchu
A Pi Po Herb Stew Spare Rib,"Asian, Taiwanese",4,Yangmei District,3,Hsinchu
Wulao Zhongzheng,"Asian, Taiwanese",4.2,Taoyuan District,60,Hsinchu
Ba Fung Hakka Restaurant,"Asian, Taiwanese",3.5,Yangmei District,13,Hsinchu
D3 Bar,,4,Dayuan District,9,Hsinchu
Yi Fan Di Sukiyaki,Japanese,4.2,Taoyuan District,23,Hsinchu
Lai Ma Ma Tofu Pudding,,4,Daxi District,22,Hsinchu
Monet Coffee-Yong An,"Cafe, Fast Food",4.5,Xinwu District,2,Hsinchu
Wonder Garden,Chinese,4.6,Pingzhen District,7,Hsinchu
Lao Sichuan Spicy Hot Pot,"Chinese, Asian",4.1,Taoyuan District,43,Hsinchu
Momo Paradise Zhongli Dajiang,Open now,3.7,Zhongli District,54,Hsinchu
Lanting Moon,"Chinese, Contemporary",5,Longtan District,1,Hsinchu
Ming Shi Fu Seafood,Seafood,4.3,Dayuan District,7,Hsinchu
Pizza Rock Taiwan - Taoyuan Branch,"Italian, American",4.8,Taoyuan District,6,Hsinchu
KaiFun Together - Taoyuan,,4,Taoyuan District,21,Hsinchu
Hong Deng Long Nong Jia Cai Restaurant,,4.2,Longtan District,5,Hsinchu
TGI Fridays Taoyuan,,4.3,Taoyuan District,221,Hsinchu
Sun Dong Bao Niu Pai   Zhong Li Jian Xing,"Steakhouse, Asian",3.6,Zhongli District,8,Hsinchu
Ate Marita Cold Noodle House,"Filipino, Asian",5,Zhongli District,6,Hsinchu
Green Breeze Prairie,Fusion,3.8,Pingzhen District,12,Hsinchu
Yakiyan O-NiKU - Taoyuan Tong Ling,Asian,4.6,Taoyuan District,67,Hsinchu
