rest_name,cuisine,ratings,location,num_reviews,city
Mayur Indian Kitchen MIK-1,"Indian, Pakistani",4.7,Xinyi District,1418,Taipei
Tha Top,"Chinese, Asian",4.1,Shilin,155,Taipei
Beef Noodle of the King,"Chinese, Asian",4.3,Zhongzheng District,218,Taipei
Rice & Shine Restaurant,"Chinese, Taiwanese",4.5,Datong,89,Taipei
Rilakkuma CafE,"American, Cafe",4.3,Da'an,2685,Taipei
Bencotto,Italian,4.4,Songshan,346,Taipei
Mayur Indian Kitchen,Indian,4.6,Zhongshan District,323,Taipei
Haidilao,"Chinese, Asian",4.3,Xinyi District,230,Taipei
Ichiran Ramen - Taiwan Taipei Shop,"Japanese, Fast Food",4.1,Xinyi District,160,Taipei
Pearl River,"Chinese, Asian",4.6,Da'an,227,Taipei
Ruth's Chris Steak House,"American, Steakhouse",4.5,Songshan,478,Taipei
Sunrise all day dinning - COURTYARD TAIPEI,"European, Asian",4.4,Nangang,1069,Taipei
Shin Yeh Shiao Ju-Nangang Restaurant,"Chinese, Asian",4.2,Nangang,45,Taipei
Yu Shan Ge,"Chinese, Asian",4.4,Zhongzheng District,375,Taipei
ShinYeh Japanese Buffet - Jiankang Restaurant,"Japanese, Sushi",4.3,Songshan,2168,Taipei
Lawry's The Prime Rib,"American, Steakhouse",4.4,Xinyi District,1983,Taipei
Din Tai Fung,"Chinese, Asian",4.5,Xinyi District,184,Taipei
Yakitori - Songjiang,"Japanese, Bar",4.4,Zhongshan District,457,Taipei
T.G.I.Friday's Hsi-Men Restaurant (Ximen Dian),"American, Bar",4.2,Wanhua,519,Taipei
Fruitful Food,"Chinese, Asian",4.4,Da'an,324,Taipei
Bravo Beer - Taipei Civic Store,"Italian, American",4.8,Songshan,536,Taipei
"M.O. Bar at Mandarin Oriental, Taipei","Bar, Wine Bar",4.8,Songshan,188,Taipei
Mayur Indian Kitchen MIK-2 - Minsheng E. Road,"Indian, Asian",4.6,Songshan,782,Taipei
Inparadise 饗饗,"French, Chinese",4.3,Xinyi District,155,Taipei
Tao-Yuan-Street Beef Noodle Shop,Taiwanese,4.1,Zhongzheng District,259,Taipei
Ximen Jinfeng,"Chinese, Asian",4.2,Wanhua,87,Taipei
Le Cafe - Hotel Royal-Nikko Taipei,NA,4.3,Zhongshan District,1844,Taipei
Jingding Xiaoguan,"Chinese, Asian",4.3,Songshan,248,Taipei
Tokiya (Beitou Guangming Branch),Asian,4.2,Beitou,173,Taipei
